,datetime(yyyy-mm-dd hh),co2_flow(l),Amstel_Utra_tot_volume(l),Amstel_Utra_age_volume(days*l),Carta_Blanca_tot_volume(l),Carta_Blanca_age_volume(days*l),Coors_Light_tot_volume(l),Coors_Light_age_volume(days*l),Miller_tot_volume(l),Miller_age_volume(days*l),Sol_tot_volume(l),Sol_age_volume(days*l),Tecate_tot_volume(l),Tecate_age_volume(days*l),Tecate_Light_tot_volume(l),Tecate_Light_age_volume(days*l),RIZZOS_tot_volume(l),RIZZOS_age_volume(days*l),Bohemia_tot_volume(l),Bohemia_age_volume(days*l),Noche_Buena_tot_volume(l),Noche_Buena_age_volume(days*l)
77,2022-08-12 07,390422.8642578125,4100.0,13837.5,6800.0,860483.3333333334,0.0,0.0,6800.0,20966.666666666668,6800.0,857083.3333333334,6800.0,23800.0,68900.0,925179.1666666667,0.0,0.0,0.0,0.0,4200.0,9187.5
78,2022-08-12 08,373154.80126953125,4100.0,14008.333333333332,6800.0,860766.6666666666,0.0,0.0,6800.0,21250.0,6800.0,857366.6666666666,6800.0,24083.333333333332,68900.0,928050.0,0.0,0.0,0.0,0.0,4200.0,9362.5
79,2022-08-12 09,350917.9384765625,4100.0,14179.166666666668,13600.0,861333.3333333334,0.0,0.0,6800.0,21533.333333333332,6800.0,857650.0,6800.0,24366.666666666668,68900.0,930920.8333333335,0.0,0.0,0.0,0.0,4200.0,9537.5
80,2022-08-12 10,339516.0686035156,4100.0,14350.0,13600.0,861900.0,0.0,0.0,6800.0,21816.666666666668,6800.0,857933.3333333334,6800.0,24650.0,68900.0,933791.6666666667,0.0,0.0,0.0,0.0,4200.0,9712.5
81,2022-08-12 11,367863.43017578125,4100.0,14520.833333333332,13600.0,862466.6666666666,0.0,0.0,6800.0,22100.0,6800.0,858216.6666666666,13600.0,25216.666666666664,68900.0,936662.5,0.0,0.0,0.0,0.0,4200.0,9887.5
82,2022-08-12 12,373679.5690917969,4100.0,14691.666666666668,13600.0,863033.3333333334,0.0,0.0,6800.0,22383.333333333332,6800.0,858500.0,13600.0,25783.333333333336,68900.0,939533.3333333335,0.0,0.0,0.0,0.0,4200.0,10062.5
83,2022-08-12 13,370817.78076171875,4100.0,14862.5,13600.0,863600.0,0.0,0.0,6800.0,22666.666666666668,6800.0,858783.3333333334,13600.0,26350.0,68900.0,942404.1666666667,0.0,0.0,0.0,0.0,4200.0,10237.5
84,2022-08-12 14,399553.2556152344,4100.0,15033.333333333332,13600.0,864166.6666666666,0.0,0.0,6800.0,22950.0,6800.0,859066.6666666666,13600.0,26916.666666666664,68900.0,945275.0,0.0,0.0,0.0,0.0,4200.0,10412.5
85,2022-08-12 15,423005.70458984375,4100.0,15204.166666666668,13600.0,864733.3333333334,0.0,0.0,6800.0,23233.333333333332,6800.0,859350.0,13600.0,27483.333333333336,68900.0,948145.8333333335,0.0,0.0,0.0,0.0,4200.0,10587.5
86,2022-08-12 16,420436.68798828125,4100.0,15375.0,13600.0,865300.0,0.0,0.0,6800.0,23516.666666666668,6800.0,859633.3333333334,13600.0,28050.0,68900.0,951016.6666666667,0.0,0.0,0.0,0.0,4200.0,10762.5
87,2022-08-12 17,393210.7624511719,4100.0,15545.833333333332,13600.0,865866.6666666666,0.0,0.0,6800.0,23800.0,6800.0,859916.6666666666,13600.0,28616.666666666664,68900.0,953887.5,0.0,0.0,0.0,0.0,4200.0,10937.5
88,2022-08-12 18,437055.6433105469,4100.0,15716.666666666668,13600.0,866433.3333333334,0.0,0.0,6800.0,24083.333333333332,6800.0,860200.0,13600.0,29183.333333333336,68900.0,956758.3333333335,0.0,0.0,0.0,0.0,4200.0,11112.5
89,2022-08-12 19,447814.7626953125,4100.0,15887.5,13600.0,867000.0,0.0,0.0,6800.0,24366.666666666668,6800.0,860483.3333333334,13600.0,29750.0,68900.0,959629.1666666667,0.0,0.0,0.0,0.0,4200.0,11287.5
90,2022-08-12 20,393088.01123046875,4100.0,16058.333333333332,13600.0,867566.6666666666,0.0,0.0,6800.0,24650.0,6800.0,860766.6666666666,13600.0,30316.666666666668,68900.0,962500.0,0.0,0.0,0.0,0.0,4200.0,11462.5
91,2022-08-12 21,411609.39794921875,8200.0,16400.0,13600.0,868133.3333333334,0.0,0.0,6800.0,24933.333333333332,6800.0,861050.0,13600.0,30883.333333333332,68900.0,965370.8333333335,0.0,0.0,0.0,0.0,4200.0,11637.5
92,2022-08-12 22,390609.568359375,8200.0,16741.666666666668,13600.0,868700.0,0.0,0.0,6800.0,25216.666666666668,6800.0,861333.3333333334,13600.0,31450.0,68900.0,968241.6666666667,0.0,0.0,0.0,0.0,4200.0,11812.5
93,2022-08-12 23,411397.6579589844,8200.0,17083.333333333336,13600.0,869266.6666666666,0.0,0.0,6800.0,25500.0,6800.0,861616.6666666666,13600.0,32016.666666666668,68900.0,971112.5,0.0,0.0,0.0,0.0,4200.0,11987.5
94,2022-08-13 00,437123.5676269531,8200.0,17424.999999999996,13600.0,869833.3333333334,0.0,0.0,6800.0,25783.333333333332,6800.0,861900.0,13600.0,32583.333333333332,68900.0,973983.3333333335,0.0,0.0,0.0,0.0,4200.0,12162.5
95,2022-08-13 01,365389.7546386719,8200.0,17766.666666666668,13600.0,870400.0,0.0,0.0,6800.0,26066.666666666668,6800.0,862183.3333333334,13600.0,33150.0,68900.0,976854.1666666667,0.0,0.0,0.0,0.0,4200.0,12337.5
96,2022-08-13 02,363679.1975097656,8200.0,18108.333333333336,13600.0,870966.6666666666,0.0,0.0,6800.0,26350.0,6800.0,862466.6666666666,13600.0,33716.66666666667,77500.0,980083.3333333334,0.0,0.0,0.0,0.0,4200.0,12512.5
